Client Id,Title,User Name,First Name,Last Name,Email,Phone,Role,Eligible,Venue,Special Arrangement,Reason for Special Arrangement,Authentication Method,Booking Status,Password,Deleted
CIO12033,MR,CandidatePFM12033,Candidate,PFTMM,CandidatePFM12033@yopmail.com,8225568556,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@155,0
CIO12034,MR,CandidatePFM12034,Candidate,PFTMM,CandidatePFM12034@yopmail.com,8225568557,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@156,0
CIO12035,MR,CandidatePFM12035,Candidate,PFTMM,CandidatePFM12035@yopmail.com,8225568558,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@157,0
CIO12036,MR,CandidatePFM12036,Candidate,PFTMM,CandidatePFM12036@yopmail.com,8225568559,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@158,0
CIO12037,MR,CandidatePFM12037,Candidate,PFTMM,CandidatePFM12037@yopmail.com,8225568560,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@159,0
CIO12038,MR,CandidatePFM12038,Candidate,PFTMM,CandidatePFM12038@yopmail.com,8225568561,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@160,0
CIO12039,MR,CandidatePFM12039,Candidate,PFTMM,CandidatePFM12039@yopmail.com,8225568562,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@161,0
CIO12040,MR,CandidatePFM12040,Candidate,PFTMM,CandidatePFM12040@yopmail.com,8225568563,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@162,0
CIO12041,MR,CandidatePFM12041,Candidate,PFTMM,CandidatePFM12041@yopmail.com,8225568564,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@163,0
CIO12042,MR,CandidatePFM12042,Candidate,PFTMM,CandidatePFM12042@yopmail.com,8225568565,Candidate,Yes,Elumina Chennai,Yes,write text,Simple,Booked,Elumina@164,0
